SourceRepoName,SourceLink,ProjectName,VerControlToolName,BugsTrackerLink,BugsTrackerToolName
GitHub,https://github.com/kcwdevllc/ios-background-downloader.git,ios-background-downloader,Git,https://github.com/kcwdevllc/ios-background-downloader/issues,Git
GitHub,https://github.com/kaiinui/PushablePusher.git,PushablePusher,Git,https://github.com/kaiinui/PushablePusher/issues,Git
GitHub,https://github.com/erparker/iOSAbstractClasses.git,iOSAbstractClasses,Git,https://github.com/erparker/iOSAbstractClasses/issues,Git
GitHub,https://github.com/HubSpot/BidHub-iOS.git,BidHub-iOS,Git,https://github.com/HubSpot/BidHub-iOS/issues,Git
GitHub,https://github.com/exmex/HS_Multilang.git,HS_Multilang,Git,https://github.com/exmex/HS_Multilang/issues,Git
GitHub,https://github.com/julesjacobs/ImmutableCollections.git,ImmutableCollections,Git,https://github.com/julesjacobs/ImmutableCollections/issues,Git
GitHub,https://github.com/isabgol/QuickInject.git,QuickInject,Git,https://github.com/isabgol/QuickInject/issues,Git
GitHub,https://github.com/BadriL/HawkASP.NETvNext.git,HawkASP.NETvNext,Git,https://github.com/BadriL/HawkASP.NETvNext/issues,Git
GitHub,https://github.com/wit-ai/wit-windowsphone-sdk.git,wit-windowsphone-sdk,Git,https://github.com/wit-ai/wit-windowsphone-sdk/issues,Git
GitHub,https://github.com/kenamarit/flappydano.git,flappydano,Git,https://github.com/kenamarit/flappydano/issues,Git
GitHub,https://github.com/kreatived/TheWire.git,TheWire,Git,https://github.com/kreatived/TheWire/issues,Git
GitHub,https://github.com/bgorven/discouser.git,discouser,Git,https://github.com/bgorven/discouser/issues,Git
GitHub,https://github.com/kalkie/Mosaic-WP.git,Mosaic-WP,Git,https://github.com/kalkie/Mosaic-WP/issues,Git
GitHub,https://github.com/dannycabrera/SimpleBackgroundUpload.git,SimpleBackgroundUpload,Git,https://github.com/dannycabrera/SimpleBackgroundUpload/issues,Git
GitHub,https://github.com/mikecann/Unity-Ash.git,Unity-Ash,Git,https://github.com/mikecann/Unity-Ash/issues,Git
GitHub,https://github.com/CISY267RVCC/RVShuttles.git,RVShuttles,Git,https://github.com/CISY267RVCC/RVShuttles/issues,Git
GitHub,https://github.com/JrPD/Kodisoft.git,Kodisoft,Git,https://github.com/JrPD/Kodisoft/issues,Git
GitHub,https://github.com/vikas0380/linconnect-windows.git,linconnect-windows,Git,https://github.com/vikas0380/linconnect-windows/issues,Git
GitHub,https://github.com/cicorias/dockerMvcSample.git,dockerMvcSample,Git,https://github.com/cicorias/dockerMvcSample/issues,Git
GitHub,https://github.com/CalinLeafshade/Thetis.git,Thetis,Git,https://github.com/CalinLeafshade/Thetis/issues,Git
GitHub,https://github.com/vernepung/StatusBarSample.git,StatusBarSample,Git,https://github.com/vernepung/StatusBarSample/issues,Git
GitHub,https://github.com/KarlaDiaz/MeHazVisto.git,MeHazVisto,Git,https://github.com/KarlaDiaz/MeHazVisto/issues,Git
GitHub,https://github.com/MediaBrowser/MediaBrowser.Naming.git,MediaBrowser.Naming,Git,https://github.com/MediaBrowser/MediaBrowser.Naming/issues,Git
GitHub,https://github.com/Superfranci99/NDS-FileFormatParser.git,NDS-FileFormatParser,Git,https://github.com/Superfranci99/NDS-FileFormatParser/issues,Git
GitHub,https://github.com/Orkuncakilkaya/MonoPad.git,MonoPad,Git,https://github.com/Orkuncakilkaya/MonoPad/issues,Git
GitHub,https://github.com/Boyko-Karadzhov/Dynamic-Libraries.git,Dynamic-Libraries,Git,https://github.com/Boyko-Karadzhov/Dynamic-Libraries/issues,Git
GitHub,https://github.com/emilebosch/osx-traykit.git,osx-traykit,Git,https://github.com/emilebosch/osx-traykit/issues,Git
GitHub,https://github.com/vasiliygit/nfiletorage.git,nfiletorage,Git,https://github.com/vasiliygit/nfiletorage/issues,Git
GitHub,https://github.com/hl2mukkel/TF2ProfileManager.git,TF2ProfileManager,Git,https://github.com/hl2mukkel/TF2ProfileManager/issues,Git
GitHub,https://github.com/JOxBERGER/VVVV-REST.git,VVVV-REST,Git,https://github.com/JOxBERGER/VVVV-REST/issues,Git
GitHub,https://github.com/octo-code/obj-unity3d.git,obj-unity3d,Git,https://github.com/octo-code/obj-unity3d/issues,Git
GitHub,https://github.com/hodispk/LaboratorFP.git,LaboratorFP,Git,https://github.com/hodispk/LaboratorFP/issues,Git
GitHub,https://github.com/tim427/minorproject.git,minorproject,Git,https://github.com/tim427/minorproject/issues,Git
GitHub,https://github.com/asizikov/mr-eric.git,mr-eric,Git,https://github.com/asizikov/mr-eric/issues,Git
GitHub,https://github.com/tomasr/roslyn-colorizer.git,roslyn-colorizer,Git,https://github.com/tomasr/roslyn-colorizer/issues,Git
GitHub,https://github.com/NashXam/i-made-a-game-with-cocossharp.git,i-made-a-game-with-cocossharp,Git,https://github.com/NashXam/i-made-a-game-with-cocossharp/issues,Git
GitHub,https://github.com/james-world/owinmultihosting.git,owinmultihosting,Git,https://github.com/james-world/owinmultihosting/issues,Git
GitHub,https://github.com/GeorgeHahn/SOVND.git,SOVND,Git,https://github.com/GeorgeHahn/SOVND/issues,Git
